"","Zip Code","column_label","City Name","Year","Zip Code Rate","STATE","ZIP_TYPE","RUCA1","RUCA2","rurality","Delayed_Care"
"204",91344,2,"Los Angeles County",2018,187,"CA","Zip Code Area",1,1,"Urban",19.5
"205",91345,2,"Los Angeles County",2018,357,"CA","Zip Code Area",1,1,"Urban",19.5
"206",91350,2,"Los Angeles County",2018,369,"CA","Zip Code Area",2,2,"Suburban",19.4
"207",91351,2,"Los Angeles County",2018,232,"CA","Zip Code Area",2,2,"Suburban",20.6
"208",91352,2,"Los Angeles County",2018,431,"CA","Zip Code Area",1,1,"Urban",20
"209",91354,2,"Los Angeles County",2018,119,"CA","Zip Code Area",2,2,"Suburban",19.3
"210",91355,2,"Los Angeles County",2018,127,"CA","Zip Code Area",2,2,"Suburban",20
"211",91356,2,"Los Angeles County",2018,397,"CA","Zip Code Area",1,1,"Urban",20.7
"212",91361,2,"Los Angeles County",2018,73,"CA","Zip Code Area",1,1,"Urban",21.6
"213",91364,2,"Los Angeles County",2018,329,"CA","Zip Code Area",1,1,"Urban",19.8
"214",91367,2,"Los Angeles County",2018,273,"CA","Zip Code Area",1,1,"Urban",20.4
"215",91381,2,"Los Angeles County",2018,140,"CA","Zip Code Area",2,2,"Suburban",18.2
"216",91384,2,"Los Angeles County",2018,99,"CA","Zip Code Area",2,2,"Suburban",18.8
"217",91387,2,"Los Angeles County",2018,155,"CA","Zip Code Area",2,2,"Suburban",20.2
"218",91390,2,"Los Angeles County",2018,204,"CA","Zip Code Area",2,2,"Suburban",20.7
"219",91401,2,"Los Angeles County",2018,754,"CA","Zip Code Area",1,1,"Urban",21.7
"220",91402,2,"Los Angeles County",2018,529,"CA","Zip Code Area",1,1,"Urban",18.2
"221",91403,2,"Los Angeles County",2018,1132,"CA","Zip Code Area",1,1,"Urban",22.2
"222",91405,2,"Los Angeles County",2018,773,"CA","Zip Code Area",1,1,"Urban",19.9
"223",91406,2,"Los Angeles County",2018,654,"CA","Zip Code Area",1,1,"Urban",20.6
"224",91411,2,"Los Angeles County",2018,523,"CA","Zip Code Area",1,1,"Urban",21
"225",91423,2,"Los Angeles County",2018,640,"CA","Zip Code Area",1,1,"Urban",22.4
"226",91436,2,"Los Angeles County",2018,241,"CA","Zip Code Area",1,1,"Urban",18.2
"227",91501,2,"Los Angeles County",2018,248,"CA","Zip Code Area",1,1,"Urban",22.6
"228",91502,2,"Los Angeles County",2018,468,"CA","Zip Code Area",1,1,"Urban",22.7
"229",91504,2,"Los Angeles County",2018,220,"CA","Zip Code Area",1,1,"Urban",21.3
"230",91505,2,"Los Angeles County",2018,473,"CA","Zip Code Area",1,1,"Urban",21.4
"231",91506,2,"Los Angeles County",2018,306,"CA","Zip Code Area",1,1,"Urban",21.4
"232",91601,2,"Los Angeles County",2018,1580,"CA","Zip Code Area",1,1,"Urban",22.2
"233",91602,2,"Los Angeles County",2018,890,"CA","Zip Code Area",1,1,"Urban",23.9
"234",91604,2,"Los Angeles County",2018,904,"CA","Zip Code Area",1,1,"Urban",21.4
"235",91605,2,"Los Angeles County",2018,601,"CA","Zip Code Area",1,1,"Urban",20.1
"236",91606,2,"Los Angeles County",2018,794,"CA","Zip Code Area",1,1,"Urban",21.1
"237",91607,2,"Los Angeles County",2018,811,"CA","Zip Code Area",1,1,"Urban",23.1
"238",91702,2,"Los Angeles County",2018,276,"CA","Zip Code Area",1,1,"Urban",18.6
"239",91706,2,"Los Angeles County",2018,251,"CA","Zip Code Area",1,1,"Urban",17.8
"240",91711,2,"Los Angeles County",2018,169,"CA","Zip Code Area",1,1,"Urban",20
"241",91722,2,"Los Angeles County",2018,272,"CA","Zip Code Area",1,1,"Urban",18.1
"242",91723,2,"Los Angeles County",2018,306,"CA","Zip Code Area",1,1,"Urban",19.7
"243",91724,2,"Los Angeles County",2018,163,"CA","Zip Code Area",1,1,"Urban",18.2
"244",91731,2,"Los Angeles County",2018,647,"CA","Zip Code Area",1,1,"Urban",16.6
"245",91732,2,"Los Angeles County",2018,316,"CA","Zip Code Area",1,1,"Urban",16.9
"246",91733,2,"Los Angeles County",2018,171,"CA","Zip Code Area",1,1,"Urban",18
"247",91740,2,"Los Angeles County",2018,206,"CA","Zip Code Area",1,1,"Urban",19.2
"248",91741,2,"Los Angeles County",2018,150,"CA","Zip Code Area",1,1,"Urban",19.4
"249",91744,2,"Los Angeles County",2018,306,"CA","Zip Code Area",1,1,"Urban",18.2
"250",91745,2,"Los Angeles County",2018,158,"CA","Zip Code Area",1,1,"Urban",16.2
"251",91746,2,"Los Angeles County",2018,277,"CA","Zip Code Area",1,1,"Urban",18.5
"252",91748,2,"Los Angeles County",2018,169,"CA","Zip Code Area",1,1,"Urban",15.2
"253",91750,2,"Los Angeles County",2018,129,"CA","Zip Code Area",1,1,"Urban",20.1
"254",91754,2,"Los Angeles County",2018,245,"CA","Zip Code Area",1,1,"Urban",14.5
"255",91755,2,"Los Angeles County",2018,149,"CA","Zip Code Area",1,1,"Urban",13.8
"256",91765,2,"Los Angeles County",2018,129,"CA","Zip Code Area",1,1,"Urban",15.1
"257",91766,2,"Los Angeles County",2018,320,"CA","Zip Code Area",1,1,"Urban",19.1
"258",91767,2,"Los Angeles County",2018,438,"CA","Zip Code Area",1,1,"Urban",18.8
"259",91768,2,"Los Angeles County",2018,430,"CA","Zip Code Area",1,1,"Urban",19.4
"260",91770,2,"Los Angeles County",2018,150,"CA","Zip Code Area",1,1,"Urban",14.4
"261",91773,2,"Los Angeles County",2018,140,"CA","Zip Code Area",1,1,"Urban",18.8
"262",91775,2,"Los Angeles County",2018,133,"CA","Zip Code Area",1,1,"Urban",15.5
"263",91776,2,"Los Angeles County",2018,246,"CA","Zip Code Area",1,1,"Urban",14.8
"264",91780,2,"Los Angeles County",2018,180,"CA","Zip Code Area",1,1,"Urban",15.2
"265",91789,2,"Los Angeles County",2018,95,"CA","Zip Code Area",1,1,"Urban",14.1
"266",91790,2,"Los Angeles County",2018,228,"CA","Zip Code Area",1,1,"Urban",17.5
"267",91791,2,"Los Angeles County",2018,231,"CA","Zip Code Area",1,1,"Urban",17.5
"268",91792,2,"Los Angeles County",2018,270,"CA","Zip Code Area",1,1,"Urban",17.1
